mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
2.5744922161102295,1.2173477029699602,0.04123420715332031,0.028334331745086372,0.8,0.05,3,100,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8}",0.9056291390728477,0.90625,0.9068708609271523,0.9049886151935417,0.904574622231422,0.9056626474849928,0.0008299402381751636,47
2.773722267150879,0.34490143360086906,0.022937870025634764,0.0023194242085345586,0.8,0.05,3,100,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100, 'subsample': 1.0}",0.9048013245033113,0.9066639072847682,0.9039735099337748,0.9049886151935417,0.905816601117781,0.9052487916066354,0.0009186100307602068,48
5.67059359550476,0.6604163282416119,0.030340290069580077,0.002864802568420285,0.8,0.05,3,200,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.8}",0.9205298013245033,0.9225993377483444,0.9244619205298014,0.9205133512730284,0.920927344235148,0.921806351022165,0.0015332943469063014,37
3.2937318325042724,1.360140660634816,0.028790760040283202,0.0024259491146255262,0.8,0.05,3,200,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 200, 'subsample': 1.0}",0.9199089403973509,0.9240480132450332,0.9234271523178808,0.9198923618298489,0.9203063547919685,0.9215165645164165,0.0018300642428681045,39
2.6590922355651854,0.3427368084303844,0.027910852432250978,0.0025658571044408266,0.8,0.05,5,100,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 100, 'subsample': 0.8}",0.9308774834437086,0.929635761589404,0.9298427152317881,0.9294141999586008,0.9250672738563445,0.9289674868159692,0.0020135499414152317,32
1.7262855052947998,0.3949248440888482,0.0920018196105957,0.093287888607897,0.8,0.05,5,100,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 100, 'subsample': 1.0}",0.9317052980132451,0.9286009933774835,0.9269453642384106,0.9296211964396606,0.9246532808942248,0.9283052265926048,0.002390216446312885,33
4.4200831890106205,1.2944574845640338,0.09196658134460449,0.07602020586141674,0.8,0.05,5,200,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 200, 'subsample': 0.8}",0.9385347682119205,0.9416390728476821,0.9397764900662252,0.9389360380873525,0.9327261436555578,0.9383225025737476,0.0029951438589501116,21
4.314455795288086,1.1269174473072952,0.06929736137390137,0.03675186416995522,0.8,0.05,5,200,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 200, 'subsample': 1.0}",0.9389486754966887,0.9412251655629139,0.9397764900662252,0.9368660732767543,0.9316911612502587,0.9377015131305682,0.0033196192308586133,24
4.019118785858154,1.4661560082126128,0.03438925743103027,0.0036110330029960223,0.8,0.05,7,100,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 7, 'n_estimators': 100, 'subsample': 0.8}",0.9420529801324503,0.9437086092715232,0.9451572847682119,0.9405920099358311,0.9366590767956945,0.9416339921807424,0.002923309348018122,17
3.0132612705230715,1.0968521882958988,0.05302925109863281,0.01775670962448242,0.8,0.05,7,100,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 7, 'n_estimators': 100, 'subsample': 1.0}",0.9420529801324503,0.9435016556291391,0.9447433774834437,0.9405920099358311,0.9364520803146347,0.9414684206991,0.002868200224181021,18
